#"Step","Potential Energy (kJ/mole)","Temperature (K)"
272000,-1302695.6060477598,523.9177855040223
272500,-1302690.6409271741,448.487744494986
273000,-1302698.4508658731,555.4661639148009
273500,-1302687.7389439452,319.53947026428654
274000,-1302692.0873032447,270.75927210345384
274500,-1302696.3700474205,334.7184497092817
275000,-1302695.5908290525,366.3824007178892
275500,-1302683.247259369,309.5382741183239
276000,-1302690.5047527435,435.5254482610328
276500,-1302690.232478316,393.3246960204136
277000,-1302696.5664037769,454.36494775744154
277500,-1302698.895440411,380.74079635889984
278000,-1302699.874982104,415.6790508369157
278500,-1302684.0344164579,372.4524689490209
279000,-1302697.139116526,320.1558628988875
279500,-1302701.3367303999,443.8354793422779
280000,-1302707.14320312,422.101154710576
280500,-1302692.4513491532,427.6724822138977
281000,-1302661.2114978074,418.43494900492254
281500,-1302651.6695223155,374.916413156784
282000,-1302668.0564215651,518.4136989062939
282500,-1302675.096192663,449.2684717033146
283000,-1302650.5508659147,460.2211625804406
283500,-1302659.2097556447,460.24777042353463
284000,-1302686.6794546056,447.85938582546476
284500,-1302691.8086642572,526.6318488308558
285000,-1302687.1979181776,502.20770614189826
285500,-1302700.6496683669,318.2732960980179
286000,-1302709.3086115404,378.2845222516399
286500,-1302685.7441379714,313.54487372237116
287000,-1302701.6634608556,397.27984453632877
287500,-1302713.8410612433,476.21992385663685
288000,-1302709.4899666267,437.3912532740712
288500,-1302690.003249676,342.2253395642897
289000,-1302716.1586291427,579.08677850548
289500,-1302674.7055470662,370.39498688947504
290000,-1302696.0387330775,553.8271815463527
290500,-1302693.3674424272,486.9621905451303
291000,-1302686.4510224918,339.33064155411415
291500,-1302687.3577905695,282.54615213756244
292000,-1302681.6077807061,419.8718971315264
292500,-1302707.1762288846,409.1286235567977
293000,-1302691.898920401,404.3803175694126
293500,-1302681.0976177922,395.21038945812495
294000,-1302657.0416521856,424.11163743299926
294500,-1302661.0621970557,392.81171214041586
295000,-1302709.0704260026,367.566861120357
295500,-1302717.5385437177,423.4725962165378
296000,-1302716.701911233,411.52821462027583
296500,-1302697.2471185415,343.8136518250431
297000,-1302689.8533258091,294.70422561363716
297500,-1302696.570949076,325.45809239073935
298000,-1302687.636179185,271.71171410651266
298500,-1302718.5661352472,330.82976443153865
299000,-1302702.75209224,357.7050628937034
299500,-1302715.1210287998,354.14480562472573
300000,-1302724.1065406948,382.3200984054521
300500,-1302714.4073700137,406.15929400337217
301000,-1302708.2234799291,297.1658214657662
301500,-1302710.820577176,390.69366215946536
302000,-1302658.558474353,401.23837451311834
302500,-1302681.4298661423,504.05264295648675
303000,-1302664.212770448,473.584314202849
303500,-1302689.9543390884,555.6446077912011
304000,-1302675.162798246,496.3824410191513
304500,-1302653.7502452433,390.1313973744377
305000,-1302662.8549755276,448.83764545988186
305500,-1302689.6171453313,543.4430884398138
306000,-1302708.5826026571,558.3674823626178
306500,-1302671.0677190945,394.0294235088412
307000,-1302691.7254459138,325.54649025190594
307500,-1302688.023322052,432.70042514252526
308000,-1302725.1066502065,415.9074837714163
308500,-1302674.853862988,377.07927255577454
309000,-1302710.1464287867,505.72425695059974
309500,-1302693.947696654,458.5239116312148
310000,-1302702.8934990673,388.45272755525815
310500,-1302698.98785758,412.8757456874849
311000,-1302700.9710480322,342.2607069483908
311500,-1302709.7125288353,361.5073619217246
312000,-1302709.0642228702,372.2765699663409
312500,-1302686.8234643992,336.6334605392836
313000,-1302680.7856071827,358.7279510589606
313500,-1302687.9724134358,489.6835977462702
314000,-1302667.350563848,329.2082847279552
314500,-1302706.9375343965,463.04636763525417
315000,-1302680.2889820898,415.00937257456064
315500,-1302683.8521262144,431.4877172384724
316000,-1302700.3251726585,465.6646848318108
316500,-1302678.2499077884,398.90035240378756
317000,-1302658.871303358,410.50769080963346
317500,-1302661.7581968424,365.3121613379851
318000,-1302686.8090866131,452.7706969874488
318500,-1302694.0650739432,432.520735000657
319000,-1302666.4042542109,293.4831162424646
319500,-1302672.8099800642,451.6793860620974
320000,-1302678.3492770293,460.05347001400827
320500,-1302690.4194654503,460.8728113750498
321000,-1302683.8497692165,424.9849359395282
321500,-1302687.6880815339,415.074414371917
322000,-1302679.5270935984,385.45607430727375
322500,-1302664.7207354703,431.3002320854639
323000,-1302683.5028002528,289.75736985009513
323500,-1302669.1989804006,325.8775177714967
324000,-1302697.0262654119,487.3428885394111
324500,-1302683.6045774615,428.6390232793877
325000,-1302688.5179217095,431.16702091087336
325500,-1302715.9488888604,326.8105583026504
326000,-1302716.8159053265,323.31530654196746
326500,-1302669.8710843066,331.06897846932776
327000,-1302686.929124587,368.63595677579116
327500,-1302685.6120689942,381.7695879445503
328000,-1302672.6706968287,388.51876298930404
328500,-1302674.7844769706,415.6409482028411
329000,-1302686.7234057018,432.49910940159776
329500,-1302707.9048582935,400.347904415541
330000,-1302701.6799908297,334.237353262973
330500,-1302656.5749252075,409.21509518402934
331000,-1302667.0213397096,350.86607443349124
331500,-1302666.5508220042,366.76952915452046
332000,-1302684.4647705753,325.39335623936137
332500,-1302672.4685727993,379.15515196774555
333000,-1302667.5887171978,508.9978567290753
333500,-1302677.7292492012,394.3385832641247
334000,-1302691.0950398922,387.1857721678658
334500,-1302701.7508216668,420.47595899137355
