Step Range,Steps,Time (seconds),Time per Step (seconds)
260000-260500,500,26.5588,0.053118
260500-261000,500,20.7290,0.041458
261000-261500,500,21.0593,0.042119
261500-262000,500,20.7702,0.041540
262000-262500,500,19.6001,0.039200
262500-263000,500,23.0403,0.046081
263000-263500,500,23.5129,0.047026
263500-264000,500,19.7642,0.039528
264000-264500,500,21.1650,0.042330
264500-265000,500,24.1668,0.048334
265000-265500,500,24.4362,0.048872
265500-266000,500,19.1596,0.038319
266000-266500,500,27.9201,0.055840
266500-267000,500,20.6996,0.041399
267000-267500,500,23.6952,0.047390
267500-268000,500,21.0111,0.042022
268000-268500,500,27.5629,0.055126
268500-269000,500,21.4874,0.042975
269000-269500,500,20.9061,0.041812
269500-270000,500,21.6705,0.043341
270000-270500,500,18.9472,0.037894
270500-271000,500,19.9806,0.039961
271000-271500,500,26.2026,0.052405
271500-272000,500,21.0810,0.042162
272000-272500,500,21.2981,0.042596
272500-273000,500,19.6220,0.039244
273000-273500,500,25.1774,0.050355
273500-274000,500,20.3589,0.040718
274000-274500,500,19.5242,0.039048
274500-275000,500,22.7187,0.045437
275000-275500,500,24.3325,0.048665
275500-276000,500,25.6844,0.051369
276000-276500,500,25.8436,0.051687
276500-277000,500,27.1685,0.054337
277000-277500,500,33.9945,0.067989
277500-278000,500,31.0626,0.062125
278000-278500,500,41.4864,0.082973
278500-279000,500,30.1692,0.060338
279000-279500,500,25.9851,0.051970
279500-280000,500,28.8244,0.057649
280000-280500,500,29.6870,0.059374
280500-281000,500,36.7045,0.073409
281000-281500,500,27.3508,0.054702
281500-282000,500,28.2446,0.056489
282000-282500,500,24.9601,0.049920
282500-283000,500,32.0925,0.064185
283000-283500,500,26.3036,0.052607
283500-284000,500,26.9544,0.053909
284000-284500,500,37.1793,0.074359
284500-285000,500,34.0001,0.068000
285000-285500,500,26.7602,0.053520
285500-286000,500,33.1686,0.066337
286000-286500,500,34.7915,0.069583
286500-287000,500,30.9386,0.061877
287000-287500,500,28.0777,0.056155
287500-288000,500,31.6791,0.063358
288000-288500,500,30.6749,0.061350
288500-289000,500,37.4175,0.074835
289000-289500,500,28.7022,0.057404
289500-290000,500,29.6933,0.059387
290000-290500,500,32.5421,0.065084
290500-291000,500,27.7504,0.055501
291000-291500,500,24.1518,0.048304
291500-292000,500,29.3447,0.058689
292000-292500,500,35.4481,0.070896
292500-293000,500,28.3659,0.056732
293000-293500,500,30.1574,0.060315
293500-294000,500,33.4498,0.066900
294000-294500,500,27.7207,0.055441
294500-295000,500,34.4668,0.068934
295000-295500,500,23.7681,0.047536
295500-296000,500,49.4621,0.098924
296000-296500,500,30.9254,0.061851
296500-297000,500,28.8323,0.057665
297000-297500,500,35.3419,0.070684
297500-298000,500,21.6060,0.043212
298000-298500,500,34.3933,0.068787
298500-299000,500,29.7111,0.059422
299000-299500,500,23.0692,0.046138
299500-300000,500,31.4095,0.062819
300000-300500,500,28.4008,0.056802
300500-301000,500,31.3872,0.062774
