#"Step","Potential Energy (kJ/mole)","Temperature (K)"
146000,-1302637.5333156807,481.43485210703074
146500,-1302642.3904447048,448.90468304616707
147000,-1302631.6860044957,243.29466292595095
147500,-1302652.9413548475,375.6480795748366
148000,-1302617.2488892237,386.85088190101374
148500,-1302651.1498209513,566.0121184444143
149000,-1302614.8902579097,486.1435576263167
149500,-1302647.0591038628,394.11323661943874
150000,-1302645.2334811208,282.49281565751755
150500,-1302651.6832547938,305.229908155983
151000,-1302648.467446396,463.17428430154297
151500,-1302629.7794168065,378.21338021362124
152000,-1302640.938979675,331.7966308280819
152500,-1302660.644328927,358.08201137816866
153000,-1302660.663655465,345.9356642474784
153500,-1302634.6166257232,388.0797987533668
154000,-1302661.4895232795,415.32688313386444
154500,-1302666.8376954363,279.9619064152262
155000,-1302640.568530656,279.0031880490631
155500,-1302629.9364323996,334.6301796798005
156000,-1302655.6452886343,431.67781778972136
156500,-1302670.9810957424,419.7014602582563
157000,-1302664.378169951,391.15647904969165
157500,-1302639.5808796599,369.2171455867128
158000,-1302643.7962471547,471.90647352372446
158500,-1302652.9239883835,577.5383066652746
159000,-1302655.6899150943,645.9985157684716
159500,-1302623.0155408792,474.33783329874313
160000,-1302636.2817868285,449.81916093499996
160500,-1302642.7696853352,409.60622594184724
161000,-1302622.068937782,454.9201772736384
161500,-1302612.6057765807,469.3872815165356
162000,-1302635.8392749757,494.80014354674944
162500,-1302616.830949844,423.13633322747194
163000,-1302627.2611430038,569.0586679796513
163500,-1302648.1468593152,545.8143487186295
164000,-1302664.9880011773,664.9792026587313
164500,-1302654.5684470446,535.5785791648653
165000,-1302655.3782279838,470.8493159564996
165500,-1302609.7211574214,293.6260874065462
166000,-1302658.1674308446,431.1758323876435
166500,-1302636.3353636847,423.5272450945558
167000,-1302626.0325549298,681.9388243281003
167500,-1302630.6487887276,615.9920108286594
168000,-1302593.0521559163,661.3100175396129
168500,-1302653.5740786286,553.2375910010196
169000,-1302632.4515161682,333.15540626260986
169500,-1302664.6152842785,306.6093873423653
170000,-1302657.1816488013,339.4803851430784
170500,-1302657.544787422,388.2112736200428
171000,-1302661.8912562819,268.04915747183117
171500,-1302650.1478150848,334.14758936050873
172000,-1302676.179187832,392.96400938826497
172500,-1302651.8469118848,347.1677841236469
