Step Range,Steps,Time (seconds),Time per Step (seconds)
266000-266500,500,14.9126,0.029825
266500-267000,500,14.9482,0.029896
267000-267500,500,15.3482,0.030696
267500-268000,500,14.9586,0.029917
268000-268500,500,14.6009,0.029202
268500-269000,500,15.3201,0.030640
269000-269500,500,14.6739,0.029348
269500-270000,500,13.8921,0.027784
270000-270500,500,14.9758,0.029952
270500-271000,500,15.5157,0.031031
271000-271500,500,15.4297,0.030859
271500-272000,500,15.5318,0.031064
272000-272500,500,14.7169,0.029434
272500-273000,500,14.1401,0.028280
273000-273500,500,15.6170,0.031234
273500-274000,500,14.8526,0.029705
274000-274500,500,16.1827,0.032365
274500-275000,500,15.9384,0.031877
275000-275500,500,15.7616,0.031523
275500-276000,500,14.3518,0.028704
276000-276500,500,15.3119,0.030624
276500-277000,500,15.4669,0.030934
277000-277500,500,14.8731,0.029746
277500-278000,500,15.6040,0.031208
278000-278500,500,15.0188,0.030038
278500-279000,500,15.2001,0.030400
279000-279500,500,14.9952,0.029990
279500-280000,500,14.7604,0.029521
280000-280500,500,14.8770,0.029754
280500-281000,500,14.7332,0.029466
281000-281500,500,15.4391,0.030878
281500-282000,500,14.8717,0.029743
282000-282500,500,15.4060,0.030812
282500-283000,500,15.1450,0.030290
283000-283500,500,14.8837,0.029767
283500-284000,500,15.0914,0.030183
284000-284500,500,15.9169,0.031834
284500-285000,500,16.0503,0.032101
285000-285500,500,15.3897,0.030779
285500-286000,500,15.3410,0.030682
286000-286500,500,15.1496,0.030299
286500-287000,500,14.9865,0.029973
287000-287500,500,15.2504,0.030501
287500-288000,500,15.5412,0.031082
288000-288500,500,15.4623,0.030925
288500-289000,500,14.9478,0.029896
289000-289500,500,14.5835,0.029167
289500-290000,500,15.0469,0.030094
290000-290500,500,15.8653,0.031731
290500-291000,500,15.4628,0.030926
291000-291500,500,15.1713,0.030343
291500-292000,500,14.7929,0.029586
292000-292500,500,16.1025,0.032205
292500-293000,500,14.8706,0.029741
293000-293500,500,14.6947,0.029389
293500-294000,500,15.7329,0.031466
294000-294500,500,15.0502,0.030100
294500-295000,500,15.0975,0.030195
295000-295500,500,16.0407,0.032081
295500-296000,500,15.3385,0.030677
296000-296500,500,15.0540,0.030108
296500-297000,500,14.0249,0.028050
297000-297500,500,14.6173,0.029235
297500-298000,500,14.9612,0.029922
298000-298500,500,15.2614,0.030523
298500-299000,500,15.2344,0.030469
299000-299500,500,15.0986,0.030197
299500-300000,500,15.4723,0.030945
300000-300500,500,15.1938,0.030388
300500-301000,500,15.9811,0.031962
301000-301500,500,14.5662,0.029132
301500-302000,500,15.0432,0.030086
302000-302500,500,16.0531,0.032106
302500-303000,500,15.5119,0.031024
303000-303500,500,15.2845,0.030569
303500-304000,500,14.8699,0.029740
304000-304500,500,14.6674,0.029335
304500-305000,500,15.2137,0.030427
305000-305500,500,14.3001,0.028600
305500-306000,500,15.2385,0.030477
306000-306500,500,15.4490,0.030898
306500-307000,500,14.7546,0.029509
307000-307500,500,14.4579,0.028916
307500-308000,500,15.0163,0.030033
308000-308500,500,15.0834,0.030167
308500-309000,500,18.8057,0.037611
309000-309500,500,14.4236,0.028847
309500-310000,500,14.0327,0.028065
310000-310500,500,14.3591,0.028718
310500-311000,500,14.7709,0.029542
311000-311500,500,15.0038,0.030008
311500-312000,500,15.0285,0.030057
312000-312500,500,14.7535,0.029507
312500-313000,500,14.6986,0.029397
313000-313500,500,14.9279,0.029856
313500-314000,500,15.4428,0.030886
314000-314500,500,15.5333,0.031067
314500-315000,500,14.4983,0.028997
315000-315500,500,14.8713,0.029743
315500-316000,500,15.0037,0.030007
316000-316500,500,15.3297,0.030659
316500-317000,500,14.8769,0.029754
317000-317500,500,15.1925,0.030385
317500-318000,500,14.8153,0.029631
318000-318500,500,15.3129,0.030626
318500-319000,500,15.3388,0.030678
319000-319500,500,15.7225,0.031445
319500-320000,500,15.2336,0.030467
320000-320500,500,14.1442,0.028288
320500-321000,500,14.8119,0.029624
321000-321500,500,14.8563,0.029713
321500-322000,500,15.5376,0.031075
322000-322500,500,14.1699,0.028340
322500-323000,500,15.1860,0.030372
323000-323500,500,15.1683,0.030337
323500-324000,500,15.4236,0.030847
324000-324500,500,14.8183,0.029637
324500-325000,500,14.7045,0.029409
325000-325500,500,14.9025,0.029805
325500-326000,500,14.5645,0.029129
326000-326500,500,14.8309,0.029662
326500-327000,500,15.4838,0.030968
327000-327500,500,14.9338,0.029868
327500-328000,500,14.5073,0.029015
328000-328500,500,15.0039,0.030008
328500-329000,500,16.1969,0.032394
329000-329500,500,14.9934,0.029987
329500-330000,500,14.7216,0.029443
330000-330500,500,14.7473,0.029495
330500-331000,500,15.0258,0.030052
331000-331500,500,14.7227,0.029445
331500-332000,500,15.1507,0.030301
332000-332500,500,14.8098,0.029620
332500-333000,500,15.1013,0.030203
333000-333500,500,15.3076,0.030615
333500-334000,500,14.4025,0.028805
334000-334500,500,14.6311,0.029262
334500-335000,500,15.6630,0.031326
335000-335500,500,15.0946,0.030189
335500-336000,500,15.0419,0.030084
336000-336500,500,14.9489,0.029898
336500-337000,500,14.4286,0.028857
337000-337500,500,15.4232,0.030846
337500-338000,500,14.6208,0.029242
338000-338500,500,14.9947,0.029989
338500-339000,500,14.4632,0.028926
339000-339500,500,14.6455,0.029291
339500-340000,500,15.4043,0.030809
340000-340500,500,15.4643,0.030929
340500-341000,500,14.8778,0.029756
341000-341500,500,14.6979,0.029396
341500-342000,500,14.1328,0.028266
342000-342500,500,13.9063,0.027813
342500-343000,500,14.6212,0.029242
343000-343500,500,14.9014,0.029803
343500-344000,500,15.3759,0.030752
344000-344500,500,14.6439,0.029288
344500-345000,500,15.6613,0.031323
345000-345500,500,14.7285,0.029457
345500-346000,500,14.4803,0.028961
346000-346500,500,14.8555,0.029711
346500-347000,500,14.9155,0.029831
347000-347500,500,14.7690,0.029538
347500-348000,500,15.4177,0.030835
348000-348500,500,14.9870,0.029974
348500-349000,500,14.3048,0.028610
349000-349500,500,14.6970,0.029394
349500-350000,500,15.3284,0.030657
350000-350500,500,14.3327,0.028665
350500-351000,500,15.2582,0.030516
351000-351500,500,15.4890,0.030978
351500-352000,500,15.0504,0.030101
352000-352500,500,14.7349,0.029470
352500-353000,500,14.9350,0.029870
353000-353500,500,14.0250,0.028050
353500-354000,500,14.8885,0.029777
354000-354500,500,15.2140,0.030428
354500-355000,500,14.9792,0.029958
355000-355500,500,14.9025,0.029805
355500-356000,500,14.5461,0.029092
356000-356500,500,15.3750,0.030750
356500-357000,500,14.8054,0.029611
357000-357500,500,14.3277,0.028655
357500-358000,500,15.3014,0.030603
358000-358500,500,15.3004,0.030601
358500-359000,500,14.3323,0.028665
359000-359500,500,15.4672,0.030934
359500-360000,500,14.8675,0.029735
360000-360500,500,15.0096,0.030019
360500-361000,500,14.5666,0.029133
361000-361500,500,15.0126,0.030025
361500-362000,500,15.5017,0.031003
362000-362500,500,15.3837,0.030767
362500-363000,500,14.2508,0.028502
363000-363500,500,15.8205,0.031641
363500-364000,500,14.1687,0.028337
364000-364500,500,14.9220,0.029844
364500-365000,500,14.4614,0.028923
365000-365500,500,15.3382,0.030676
365500-366000,500,15.3227,0.030645
366000-366500,500,15.7462,0.031492
366500-367000,500,15.3795,0.030759
367000-367500,500,14.4827,0.028965
367500-368000,500,15.4958,0.030992
368000-368500,500,15.2968,0.030594
368500-369000,500,14.9052,0.029810
369000-369500,500,15.3278,0.030656
369500-370000,500,15.4620,0.030924
370000-370500,500,14.4750,0.028950
370500-371000,500,15.6431,0.031286
371000-371500,500,15.2056,0.030411
371500-372000,500,15.2658,0.030532
372000-372500,500,14.5123,0.029025
372500-373000,500,14.6302,0.029260
373000-373500,500,14.2481,0.028496
373500-374000,500,15.6417,0.031283
374000-374500,500,15.0284,0.030057
374500-375000,500,15.6079,0.031216
375000-375500,500,15.2515,0.030503
375500-376000,500,14.8888,0.029778
376000-376500,500,14.8485,0.029697
376500-377000,500,14.8127,0.029625
377000-377500,500,14.2504,0.028501
377500-378000,500,14.2714,0.028543
378000-378500,500,14.6124,0.029225
378500-379000,500,14.1046,0.028209
379000-379500,500,14.4757,0.028951
379500-380000,500,13.7070,0.027414
380000-380500,500,14.2468,0.028494
380500-381000,500,14.8278,0.029656
381000-381500,500,14.9010,0.029802
381500-382000,500,14.4961,0.028992
382000-382500,500,14.7282,0.029456
382500-383000,500,14.7528,0.029506
383000-383500,500,14.5026,0.029005
383500-384000,500,14.1801,0.028360
384000-384500,500,14.7375,0.029475
384500-385000,500,14.9692,0.029938
385000-385500,500,15.7282,0.031456
